file,bank,offset_start,offset_end,sha1,sha256
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",00,0x000000,0x003FFF,cf785a689639826f7a9ae2eda88e8d6cdeebc54e,4566d6f503d8420529f2c7918465c169b4eb464300cbcfe29a31694e1e3cc6b5
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",01,0x004000,0x007FFF,f39c9737b3d36c15782666a05ab0ac3691a77eb3,417c4610d394efe72729ed0cf8cfc7f73a17901e143f627474744c371753467e
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",02,0x008000,0x00BFFF,466a84098c3df3e7a767b2a18846cbec9e98550d,6277577a36b5d75d3c1032ae8c1fcf352730177cd3e5f31de4cf7b135b92e7af
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",03,0x00C000,0x00FFFF,37ce99e1cc36b56c41a604337a057b30cf3fba0c,53f6923c31f441ed3a0f2ad7909fe9b3ec7af6346ec065bd2351d34514123e7b
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",04,0x010000,0x013FFF,46e2b9663e3ea9fa6703ef58d6d7c29dcabfc5ab,9fe7ea1643645d108ad1b895a5ea8a304cd4d8cf404a33a3fdea0c1209b9e199
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",05,0x014000,0x017FFF,efe18ca8e07ece64f76cfc4780e4413a27e38926,61622d4c512aa99f3451d3d6be530fde11a87f8892bdc80d94179f188946e56c
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",06,0x018000,0x01BFFF,d5c3b6f8a853fc321dbaef95d547cc66d1764ead,8a3aeb3f4ba39feb37fff0917af2daeaab473e30f6a552bc202fe375e231036c
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",07,0x01C000,0x01FFFF,521af681a3e4c9d45521d2e3921d008fffa1a436,daaa098d7a9ef16b5c970c21b318b5e0134cf2b3f0b5133a30439974c733f00b
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",08,0x020000,0x023FFF,2b77916418ed61d8787ad77029f9ea08e158e12f,5a2a94dd36930c01aa30aefee4035e8396838939130f82289b7845347e8ac046
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",09,0x024000,0x027FFF,7e54fcda332d9d3767042fb4c18ca4bdd5eda2a9,8f684c599df8ad7617674008c8b7edfc97b01c75314ff738a600679d192544ae
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0A,0x028000,0x02BFFF,8190a9213c0244043ce018c6e494531913f6ee00,52ad1c8b985b336b9e28c6aaa0112e459e789be325e9f0a8379a012abd718e4e
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0B,0x02C000,0x02FFFF,01277e001ed9ac257d8afb678528b70cd34c6bac,ec0912b59d9f95b698ea63193266496fcde06e63ab7b764082cf62512d3f22d0
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0C,0x030000,0x033FFF,b98c55406c15bfa81968914f33076c826e01383c,b7c3f6ccae6a1233a2177cca0b05849449b949cdec262581b5bfeaa6b098f4f0
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0D,0x034000,0x037FFF,04d47d67f8c7ca0ed2420162d34597ab655d276d,afaf88fcd043d7a04a0af047ba11c590a68192cf84520e1eb35683f82cd61c30
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0E,0x038000,0x03BFFF,c2df217d01e65752b20bd53b5e566913169c48f4,e7a00756e3fd69bd4b4bc7c31045076af2d64714bf9cafce0be30a36562d6836
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",0F,0x03C000,0x03FFFF,bf8b2db73ffd9e2aad3b0a1850afd436c27bab05,dfb983ff1a2d46a7836414b9fa8777bb5ea68715c2d5e2f2433e8d56aa5be131
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",10,0x040000,0x043FFF,0262bd539db613059fab8f80909b5256ce9d3fb8,6280738259a9dbece783a7ea637c627fab59db8650b460645571743ae0c31bc0
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",11,0x044000,0x047FFF,0ead61a0b929368d14c8fcf557952f8d3d0ddde5,35ba0a37bde2776b7fafcef8b950723d2419d3d5974b146ce91a568bb4193dde
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",12,0x048000,0x04BFFF,e174e5deda87b69be86d25bb54e99da601c39c4b,a6940ec7f397f85852612606b9f7b08c1fc5a3e7132ebefbe1fe71209580e569
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",13,0x04C000,0x04FFFF,6ae5df7f883014e15f50e214837f48acc94dfb4b,f78a8f139d8782eb3b5dbfeec86a831aeb24173eb6784677d397f28851e87ba5
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",14,0x050000,0x053FFF,9af2fa9944e431e0d8f9885916213c5f65f5e2ee,9cbecb78f9e1d254edc85a335977ce84a66d691a112d33ae47305e3a208eef53
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",15,0x054000,0x057FFF,f9e0e10fa88d678f485523241cb3524b6f9f183b,88b08c6e51bb55e93c5adfe3bc1ab03baa0f3426f0de3cf5b674304e9dd7cfc6
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",16,0x058000,0x05BFFF,3efd9b0faba5c087c3989052ed52661bb5870faf,13d9393867993352791112fcd6c4a1c65777e68dfe7cfadb7fc315a604aebb21
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",17,0x05C000,0x05FFFF,2808151e38cce83885ad9bc7c00cae66481bd39f,e78eb2b4ddd2485797eb4da42fa0ce52ad120d8bd5712aec582f3cf998c682ff
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",18,0x060000,0x063FFF,36b907a9783ae00ef1eea92357cb88c45284ef7b,5816ca978d587b37d5c7bad3772f0bf0dfbca16f19d1dca973346c892c0cb03e
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",19,0x064000,0x067FFF,41d0ea917b41d3f8796b549fd0ef63427fbd1ab1,485fc64df88fa226c51cbb2d59ba3b4d96285ff4c376e7254b3523c1818e26bc
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1A,0x068000,0x06BFFF,ac5aa0c95bcae04d82fc0a4d2a44fdcc5de908dd,01c103a5fc7274f66eaa17e1c0c8eab334c7f25ea0a0b4510f35756638835311
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1B,0x06C000,0x06FFFF,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e
