file,bank,offset_start,offset_end,sha1,sha256
Pokemon - Version Bleue (France) (SGB Enhanced).gb,00,0x000000,0x003FFF,351387bf9ad2c98f0545109c032d7a93f675f306,6f044b73c1c37d56f1642a9f4a35a261c597ba21da2dee67b91959814f65193b
Pokemon - Version Bleue (France) (SGB Enhanced).gb,01,0x004000,0x007FFF,08aebbf933525d8d18c44ab28f3d245989e7fd7a,f5c3a7ce51430c5e6fa45dd91b5d4d3eaee2d40ab83bc9f4d9b4f520fe5441ea
Pokemon - Version Bleue (France) (SGB Enhanced).gb,02,0x008000,0x00BFFF,41856b8af84c392e846831c1d2d53ebd8096c96c,37c6a90c9bb8b7c4c54bdc950396bb7d386cbb14085e9b5729783997140bacdf
Pokemon - Version Bleue (France) (SGB Enhanced).gb,03,0x00C000,0x00FFFF,8525f8483603c574300123dc6ca1bdd9397ae360,01c0e15f735faf2cd074c5c2758c5925fb4587a6b09954d80627a31221d96188
Pokemon - Version Bleue (France) (SGB Enhanced).gb,04,0x010000,0x013FFF,d80e617d92cd22d1dc1594f19c0d911c7bd4b0bb,aea838729d7b2c2502112b882ea8938082da73ddc2e3e85ae5d1e6cb2dd9e011
Pokemon - Version Bleue (France) (SGB Enhanced).gb,05,0x014000,0x017FFF,c089206a5f63f9ab90d225ebcc1f6c6b3e334d5c,29181d6cfe1c0f0b589bb375ee5cfd7117a5865198a8bc4e262d2c1843c8ad13
Pokemon - Version Bleue (France) (SGB Enhanced).gb,06,0x018000,0x01BFFF,28a46a7016ffdaf595b61edfbf5e3003d21fef3e,d29cdacedc25d1b6e307d9c355d2eb24c78f43202c5188bfc1d67ad41ebde834
Pokemon - Version Bleue (France) (SGB Enhanced).gb,07,0x01C000,0x01FFFF,817657ca9aa4e9fbd5b9cc696ad5660eef318d16,a2c6c2463d8a6ef23fab09d4b2864edc99a3456a5122aa02457be3b35726f24c
Pokemon - Version Bleue (France) (SGB Enhanced).gb,08,0x020000,0x023FFF,05dfe45299550ec43dcd61992769975fd528dfbb,30ce702d68a1e919f296ab67c24fe64f881751259bcf45d52e3a7c2f46fe7785
Pokemon - Version Bleue (France) (SGB Enhanced).gb,09,0x024000,0x027FFF,c1103a9fac5f30c89de1936a7d9f6df7916ac4cb,5beaaccc47d8d2fd0c6cb8dffd3763324161510b4062aae61bf42f8c4d9ac58f
Pokemon - Version Bleue (France) (SGB Enhanced).gb,0A,0x028000,0x02BFFF,02098afc288b543287f9cc797ace794a11347335,76f4d914b91f8124c500ae4aba6bc13efe8ed53aad848d74c244512810e0167b
Pokemon - Version Bleue (France) (SGB Enhanced).gb,0B,0x02C000,0x02FFFF,500382d885071c74ee75c084c7a64578898f7fea,59a21021b1c7466b0756f46eba0c22f650c02b70fae616e8d1894ff0da592e59
Pokemon - Version Bleue (France) (SGB Enhanced).gb,0C,0x030000,0x033FFF,4840e9dc3780d40d8e970f050733cc1f0e58fa65,72cd4d66b41a4768cdddb8d50fed666df0c8d787357945736dded00249859b0c
Pokemon - Version Bleue (France) (SGB Enhanced).gb,0D,0x034000,0x037FFF,93763ba3081e0c810133d8edab6eea33eec33297,9e3efdc838c5edb0ed23547a00307a5a9e0442077a4a97329a71179d2cbf6ee7
Pokemon - Version Bleue (France) (SGB Enhanced).gb,0E,0x038000,0x03BFFF,c261decbd903d106da611d5bb4e16d6e649094c9,f638961bc3714fbf8bdbc7afb683b31d07694ec57d991928d6e3b6cf63d92053
