file,bank,offset_start,offset_end,sha1,sha256
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,00,0x000000,0x003FFF,bf5661ca44cdee2e1827016ef556aa36e17108cc,ac05cc438497ce7139eda7bd77e31efa90060f6e485ed9106357071eb9c7ecb5
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,01,0x004000,0x007FFF,18e2ff1ec7781f862bb0992bdc2a9dc791bb03fd,a8fdc1b6b7eeb1e12a2ec57feb10ef80ed2042e3d1625398b34e263905e39962
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,02,0x008000,0x00BFFF,798122e37bba533e8814747f105ad37117986a06,67b3f95596656e159e79aa51159fb889cc2b246a4966e609c00839104f0e900a
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,03,0x00C000,0x00FFFF,ccee9b6b5b6ec513ff27eb6bc45f5b22dc010025,ac43c7880b4816130d9a3d7971ba0de2aec4537db4121e434420d8bd7589cac4
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,04,0x010000,0x013FFF,09f7fc7b6cd92d2ac10e4ef757dd3c6cda104518,ac7712ff19e647116a91baca5e6023f00511087b8e21854aeb72e7cb7f461c20
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,05,0x014000,0x017FFF,1031cbe0426a95e76bd18b519bcde126209e7e9b,7d73e2704d57d1a4e4d3e06821b8bae970d09d7f1edcc75bab278517b595a296
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,06,0x018000,0x01BFFF,b2a22d6798088c6ae633a9034f7f60933d7bd15f,85d8f2df2004fdcb4059d1393149091545218b2bf41ed0a727d586c4660a2264
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,07,0x01C000,0x01FFFF,82eb3afbf415e16abd3bdeac198befe77f3e68a8,54c8bbeaf225a4749861820da7689a4dff31ff95bb9be9a85913dbbe39d70201
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,08,0x020000,0x023FFF,af6ac20e70c189535140727b75a536563229a79f,3c79566934c811d27af679675c18ceeffe7b17635f19b40155924dea936a192c
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,09,0x024000,0x027FFF,f9f9d123ed48dfe0366c43192bd7ad105be030fd,f5edbd4c352b906471732fb007ffaed672646ae2017d5e7ed8303b3e590f51e9
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0A,0x028000,0x02BFFF,adc20a64213648943b2bfeb82c5bfa53b0147c4b,d82d1fa7a585a40886247a69c4b0305af651450d312c7566c37cae1643db23aa
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0B,0x02C000,0x02FFFF,1e9c6f9b6af6d91a196bcc795b4b23fdfff59c55,12b4ea45a8b6377a25082723334da56f8339cea4fdb35baeffa5240e6cba8dd2
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0C,0x030000,0x033FFF,e4674f6718c051310376275dd11609411739b498,55f4c02c8fed54d68255bae39e564f9d9081f0ac8a82965944b92230b14f169c
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0D,0x034000,0x037FFF,12cd5f0c9d22fdb916cdb615878d08de0c1aa81f,9dee66384f6f30b8ea0e39e9168ffaaba3c92f39fff0252d4d7fc7fa2ed69cd5
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0E,0x038000,0x03BFFF,d1f451c3e75dacd7826147e41d386b6a400e8a81,f36a141ac8c27e3f292be8fd8d756ebbaa924e70897a1c14296e3b4c29463c85
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,0F,0x03C000,0x03FFFF,3aff39922f22d26a3e4ed106261333a3bf185ded,8e9a6cb8be06d3bbdaf852d5b2c8ac1245b914d57f1b1c1a71446f2d172088c0
