file,bank,offset_start,offset_end,sha1,sha256
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1B,0x06C000,0x06FFFF,682b94550690d2e4c4103fe93753ed74ab38fc72,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1C,0x070000,0x073FFF,1085e645fc3deb7b2a7d4724b9365c75a77ff5df,94e70f44a2052bba76f63fc9281bd2785e643dc34f97a0d6996b550c2fd0d480
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1D,0x074000,0x077FFF,386cd9438659d0282afe104ad91958ef6ab7e31c,616b2bfe966d77ebb2a05ae8a8c6d18a54871cf2b8230a0168b86fe7ea6f2b48
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1E,0x078000,0x07BFFF,d641d4810129bfb972be709e2b640acfa2ea122a,dc7e56f4dd718fc51e36a169098249c92c1e48b2c598944b87c918ebdff8415e
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1F,0x07C000,0x07FFFF,2095c60cec020cb8f90c42814ca1dc7461b84278,0aafbed8b8f35afa0c9da057f10d256dc5386e30d4cd56933d062b325dbaf78e
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,20,0x080000,0x083FFF,7fd1abfa206cc5c41ca6ed5185643316b63f748a,467b997ce7e07ac120ab4f7abe832bab3c7c2ed7a6209bcba9eca2a8e7504e72
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,21,0x084000,0x087FFF,4585444e6b9ecdc6232255dbb27fa5553024ed33,2a028e89bc81dea44fc9b3c1465e4ecddfe3c0df04d1e60efe472c1c56fa7cc6
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,22,0x088000,0x08BFFF,9cc234379011ec2ed6fbdef0c307066c29271711,811854760b9983e33bed566274e1d4e3af631752152f286bffa16c4a3bdfdf1c
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,23,0x08C000,0x08FFFF,d1dea0c45e405f33435fcca4c37d5afc232a6936,91713c3ec8b41add309eadace5baf5350e9fbe295f7a5d924d123f98d20a3d3e
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,24,0x090000,0x093FFF,ee0ff5024250c45bac58aa7c82340383fc8c233c,2c6485859ea557be1ab3cc5b090c0bfaf6ba94d1c3d4b6780ba4d9abd76e31de
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,25,0x094000,0x097FFF,5729c6456c76ebde376a6d293624f75b7c815949,02b486568e653e38378f07f121c7445af739bfa6ff9f6fffa1f66e06b2e1f83a
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,26,0x098000,0x09BFFF,319311a62d01454d3d324855e5a214b055d1daea,b3e0ade8a79df5ac7a5d34e4763a2175ede71ff5b0b5cd8903ee2618eee73cee
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,27,0x09C000,0x09FFFF,5e2df8955915268c919f7e0e6ca22d3a3019296f,1abf466eb75f8bee4da0c47a90c5e099af0f1429fc1218c8db42071d134079fd
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,28,0x0A0000,0x0A3FFF,b67ac584c106a5a6738a46839db4d21782f12795,e36c98b233b7450ee301882440319763d0557a621dc73546185c8586fab44d64
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,29,0x0A4000,0x0A7FFF,396146e50bd5c6e8f306eb66178bcef38b7e06cf,a7704f223e02064453c8aded68e176fe21ead3acc9b178714a4e88a11a85add7
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,2A,0x0A8000,0x0ABFFF,44a77bbe6db6698898087d81653b4275c0951556,87270073ece79b59887ec32a2300963ef3cfaa3a5e537b9b566ebea31cb09fa3
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,2B,0x0AC000,0x0AFFFF,a3c41a46011c5e68643667a7d71f529d44304987,b7faead2fcccc0f54975bcc32ff35526355fae3303d710f6f039c13291a1bf88
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,2C,0x0B0000,0x0B3FFF,00ca54fa4e37e02ef086323d49493f6c871814bd,504a3beb42d8f1479136051e2ee90d5e90dc887007e27679b41cb8c500d4c93d
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,2D,0x0B4000,0x0B7FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,2E,0x0B8000,0x0BBFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,2F,0x0BC000,0x0BFFFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,30,0x0C0000,0x0C3FFF,897256b6709e1a4da9daba92b6bde39ccfccd8c1,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
