file,bank,offset_start,offset_end,sha1,sha256
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,00,0x000000,0x003FFF,35646dd4fa4ca99c3e4f0ea567fcbe4d19d7390a,191e93a3168e084eb929d121240f7599ad6b586251065f7bd09d430e07ef8467
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,01,0x004000,0x007FFF,9b5c9f0f71e15c838747c1eaed8600d78ea3b05b,bfd3b8824005f51c2dd43cb9e93d67fd6c76b7474604c8442dacdc3c137c5855
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,02,0x008000,0x00BFFF,42f8879adf60fcf4f76583a2fc09615559386bed,41c520e5a8cb0e184ddb110da60b71b7c48ae30ebdab35e9e9f0451d98ad33d7
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,03,0x00C000,0x00FFFF,7714aba31f4ff2e742a60b65ab8644454d47fe05,6f225f6b1f3a1ac87cb24a6bffa85994325b9a865c41723a8200f703ba273bc1
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,04,0x010000,0x013FFF,e170b86b2a5544ce87a82f2e040b5d8c602e3f5d,6b33cc33b73190229ac2104ef0bb69156c03cca556f251012421e0b1f21a5bee
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,05,0x014000,0x017FFF,8946602d7466e1c33de16f2923f05b6288b55c42,b87844e82a763e216d137376da8c8e6a1ab77e746713d82f83dd7adb0b84c322
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,06,0x018000,0x01BFFF,8d3b20fb8d3c073cbd8fb7395e68cf14ab0c7e31,e89e7dc59fe2d65c4a29c64a69eba4cd1c0238e7efa1caf565bcf260e8cf0931
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,07,0x01C000,0x01FFFF,220bdfa35f8ede6e46932151f9100423e8cb51b0,8b161444c9a7f4c6d26535964bc05bfd6009b5e39ac1eaae9ab11036ce28362e
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,08,0x020000,0x023FFF,147935d0edda14fb29077888d50212d822447bd8,b1a98c5a7b122c934525fe3c667d161ec9a68aa02c1fb75d15e229da65610ca5
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,09,0x024000,0x027FFF,bf49c5704ea695f352c43c21ab95d8feaff61f8b,9695497d4a64d1f87e4018c1e909e1ded6f4869661ebd1e2355b0156ecba3448
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,0A,0x028000,0x02BFFF,c450f0aa3835483d6c4f905dcaff4fe2e7e28010,ad9dad40356e40de9de89244a0f5062626d20dc88e09a5528684ace74d30e92f
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,0B,0x02C000,0x02FFFF,aa37373e521e27cfaee3de3b1365cf8c34d1a2d5,b547181965bf28b06fa5c0e9cf4cf77a605ea9d38c24b68042aafc73ffe2f5c8
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,0C,0x030000,0x033FFF,7eeeeb3c994275ed7f9531cf12181de778990f29,21661af9a98937c0afc9159eb15ca963106310c6a8ad8937e467713fbe0bee3c
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,0D,0x034000,0x037FFF,ac6a5cd0f2e33b0b2c83e0b81ccdbee346bcfca6,1851847556d3cfbf9853c8184da697b0abf4c39ea3a85abdc6b602fba8700676
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,0E,0x038000,0x03BFFF,133470af017ce64cba82ae59bf1e47116eb102a9,18f387119e1c63138daa56e3a739b219a545c3e2186d05b5ce5659c5aa7ece51
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,0F,0x03C000,0x03FFFF,7b9ed051494f7f95868867b616f47ca2421e2c94,edd751a75420fa7648e3c03e965766dc5065fa6317162387f8d9798a8ca3ed23
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,10,0x040000,0x043FFF,bc9bc915ef1127963b9da808357e9805e88e9059,66449f7438254ae9f15af7da14a8237893c95bdc9aa1e2a7a6cbfd1007d7d741
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,11,0x044000,0x047FFF,4b6b83907ec4074ec318abb8a049e03cfebafbdb,41488b9f5ba592b0a96b66b941af6c79f75b90088f3668ae6275566ddc082aac
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,12,0x048000,0x04BFFF,b979d991a9bd895941357fe449f4a6e6ed0f59e3,9d89400aec237350fb911d57e0ce1e203f94fa2a465745549010503a86319566
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,13,0x04C000,0x04FFFF,aa76309d68d550e6f4859ff479067f882b6e2b1c,b297f9897e85882786a522c83adcb36c4f4a755afec88260f170599421874362
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,14,0x050000,0x053FFF,14a87c9b5c66c5297f0076fa544a9cfd080c4f3b,8ad2f427501fcec05f93878689d04536f57f3bdae2456fcdc815a26b8d0bbe1d
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,15,0x054000,0x057FFF,632393c11408bb6112d7318075fc610fde8c633c,0342017067a83b36fa776748e677c07033e68f9231c392f89e1f4b5871a04812
Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,16,0x058000,0x05BFFF,e2cd0415bfd943fc5b13b45f5c8e4bbeb177d1bd,ac843f4238772dabcff88ac770df3523d51aa4a9d1227f6ac16378ceb52ae679
